Date,Price,Open,High,Low,Vol.,Change %
21-01-2025,129.7,132.06,132.4,129.25,32.24M,-1.49%
20-01-2025,131.66,130.99,132.1,128.91,20.57M,1.06%
17-01-2025,130.28,127.9,131.16,127.64,27.42M,1.93%
16-01-2025,127.81,128,128.47,126.56,22.16M,1.01%
15-01-2025,126.53,128,128.31,125.78,18.77M,-0.32%
14-01-2025,126.93,122.94,127.64,122.94,36.88M,3.25%
13-01-2025,122.93,126,126.5,122.62,38.97M,-3.53%
10-01-2025,127.43,129.93,130.39,126.7,34.86M,-1.92%
09-01-2025,129.93,132,132.4,129.7,31.90M,-2.04%
08-01-2025,132.64,133.93,134.24,131.77,31.57M,-0.55%
07-01-2025,133.38,132.78,133.88,132.01,24.24M,0.91%
06-01-2025,132.18,138.36,138.39,131.35,44.62M,-4.47%
03-01-2025,138.36,138.18,139.73,137.84,23.35M,0.13%
02-01-2025,138.18,137,138.45,136.4,23.39M,1.05%
01-01-2025,136.74,138.1,138.45,136.58,18.17M,-0.95%
31-12-2024,138.05,136.87,138.68,136.56,20.08M,0.85%
30-12-2024,136.88,138.91,139.25,136.09,32.56M,-1.46%
27-12-2024,138.91,140.7,141.75,138.61,19.56M,-1.03%
26-12-2024,140.36,140.95,141.15,139.51,23.94M,-0.01%
24-12-2024,140.38,141.2,141.5,139.25,25.88M,-0.94%
23-12-2024,141.71,142.45,143.8,140.61,27.51M,0.73%
20-12-2024,140.68,142.89,144.4,140,46.50M,-1.80%
19-12-2024,143.26,141.55,143.8,141.1,27.10M,-0.83%
18-12-2024,144.46,146,146.9,143.3,19.85M,-0.84%
17-12-2024,145.68,147.79,148.5,145.33,27.11M,-1.43%
16-12-2024,147.79,148.94,149.8,147.1,22.63M,-0.78%
13-12-2024,148.95,150,150.05,145.55,39.70M,-1.21%
12-12-2024,150.78,150.87,151.63,148.7,25.76M,0.12%
11-12-2024,150.6,150.59,152.11,150.06,20.50M,0.19%
10-12-2024,150.32,150.19,152.5,149.31,36.28M,0.29%
09-12-2024,149.88,148.29,150.67,146.63,39.06M,1.07%
06-12-2024,148.29,147.5,148.68,146.6,30.60M,0.83%
05-12-2024,147.07,146.5,147.88,144.8,36.33M,0.84%
04-12-2024,145.85,147,147.05,144,38.54M,-0.47%
03-12-2024,146.54,146.75,148.2,146.34,35.53M,0.09%
02-12-2024,146.41,144.11,146.83,143.14,23.84M,1.29%
29-11-2024,144.54,143.9,145.49,143.05,29.74M,0.80%
28-11-2024,143.39,144,145.25,143.09,30.95M,-0.79%
27-11-2024,144.53,144.31,144.9,142.9,24.90M,0.04%
26-11-2024,144.47,144.22,145.8,143.58,25.61M,0.56%
25-11-2024,143.67,144.94,146.15,142.84,53.88M,0.62%
22-11-2024,142.78,140.15,143.19,139.65,43.71M,1.83%
21-11-2024,140.22,139.5,141.6,137.25,58.40M,0.54%
19-11-2024,139.46,142,142.49,139.06,37.61M,-1.24%
18-11-2024,141.21,139.49,143.25,138,40.23M,2.34%
14-11-2024,137.98,139.71,140.73,137.5,36.35M,-0.86%
13-11-2024,139.17,143.6,143.6,138.6,57.61M,-3.47%
12-11-2024,144.17,145.65,147.13,143.6,28.86M,-0.58%
11-11-2024,145.01,147.57,147.69,144.1,47.50M,-1.73%
08-11-2024,147.57,152,152,146.94,61.98M,-2.24%
07-11-2024,150.95,156.11,156.92,150.2,88.25M,-1.74%
06-11-2024,153.62,154,154.95,149.59,48.93M,0.87%
05-11-2024,152.29,147,152.55,146.95,42.77M,3.63%
04-11-2024,146.95,150,150,145.1,25.57M,-1.87%
01-11-2024,149.75,149.66,150.25,149,5.11M,0.80%
31-10-2024,148.56,149.08,149.95,148.2,26.38M,-0.28%
30-10-2024,148.97,148.1,150.95,148.1,21.36M,-0.73%
29-10-2024,150.06,149.85,150.45,146.55,32.26M,0.46%
28-10-2024,149.38,146,149.73,144.73,28.39M,2.41%
25-10-2024,145.86,149,149.5,144.43,39.73M,-2.09%
24-10-2024,148.98,149.49,149.83,148.01,22.12M,0.13%
23-10-2024,148.78,150.3,151.95,148.05,42.11M,-1.07%
22-10-2024,150.39,154.9,154.9,150.1,39.08M,-2.99%
21-10-2024,155.03,156.1,157.93,154.59,25.80M,-0.23%
18-10-2024,155.39,152.4,156.2,151.1,34.75M,1.96%
17-10-2024,152.4,155.65,156.3,152.1,28.40M,-1.83%
16-10-2024,155.24,155.19,156.55,154.02,28.52M,-0.25%
15-10-2024,155.63,159.5,159.53,155.05,38.96M,-1.70%
14-10-2024,158.32,161.88,163.38,158.04,35.57M,-1.46%
11-10-2024,160.66,159.3,163.78,159.2,53.26M,0.59%
10-10-2024,159.72,158.3,161.18,156.6,46.51M,0.41%
09-10-2024,159.06,159.52,162.2,158.11,42.77M,-0.29%
08-10-2024,159.52,163,163.59,156.7,74.96M,-2.94%
07-10-2024,164.36,167.1,167.95,162.33,48.78M,-1.43%
04-10-2024,166.75,167,169.1,164,53.88M,-0.14%
03-10-2024,166.98,165.5,169.99,164.52,75.96M,-0.03%
01-10-2024,167.03,169.49,169.49,165.1,50.76M,-0.90%
30-09-2024,168.55,167.5,170.18,167.26,92.38M,1.20%
27-09-2024,166.55,167,169.01,165.89,72.80M,0.57%
26-09-2024,165.61,162,165.9,160.48,88.66M,2.44%
25-09-2024,161.66,161.5,162.69,159.52,58.04M,0.70%
24-09-2024,160.53,155.15,161.5,154.85,137.41M,4.25%
23-09-2024,153.99,154.38,154.39,152.8,33.28M,1.30%
20-09-2024,152.02,151,153.34,150.65,53.87M,1.66%
19-09-2024,149.54,151.89,152.19,147.79,36.91M,-0.70%
18-09-2024,150.6,152.4,152.98,149.61,24.86M,-1.45%
17-09-2024,152.82,154,154.24,152.27,18.28M,-0.90%
16-09-2024,154.21,155,155.66,153.5,32.58M,0.47%
13-09-2024,153.49,152.78,155.4,152.5,54.89M,1.15%
12-09-2024,151.74,152,152.44,148.75,73.19M,2.41%
11-09-2024,148.17,149.9,150.2,147.62,24.63M,-0.84%
10-09-2024,149.42,150.5,151.59,148.81,41.61M,-0.03%
09-09-2024,149.47,150.9,150.9,148.05,32.62M,-1.16%
06-09-2024,151.22,151.94,152.9,149.65,30.71M,-0.33%
05-09-2024,151.72,151,152.79,151,28.35M,0.36%
04-09-2024,151.18,149.5,152.18,149.16,39.61M,-0.64%
03-09-2024,152.15,152.84,153.45,152.01,19.78M,-0.48%
02-09-2024,152.88,153.9,153.9,152.14,19.20M,0.08%
30-08-2024,152.76,153,155.25,152.47,55.13M,-0.14%
29-08-2024,152.97,153.21,153.56,151.2,44.45M,-0.47%
28-08-2024,153.7,154.7,155,153.05,25.20M,-0.65%
27-08-2024,154.7,155.8,156.5,154.6,24.52M,-0.64%
26-08-2024,155.7,154.61,156.4,153.7,32.50M,0.97%
23-08-2024,154.2,154,154.39,152.55,31.49M,0.04%
22-08-2024,154.14,152.51,154.35,152.51,36.72M,1.46%
21-08-2024,151.92,153,154.18,151.77,49.75M,-1.31%
20-08-2024,153.93,155.7,155.7,152.8,37.56M,-0.02%
19-08-2024,153.96,150.85,154.3,150.39,62.89M,2.97%
16-08-2024,149.52,148,150,146.46,54.13M,2.29%
14-08-2024,146.17,149.9,149.9,142.35,97.91M,-1.82%
13-08-2024,148.88,152.1,152.95,148.5,29.40M,-2.09%
12-08-2024,152.06,151,153.4,149.88,30.55M,0.16%
09-08-2024,151.81,153,153,151.25,23.29M,1.02%
08-08-2024,150.28,153.4,153.44,150,51.86M,-2.33%
07-08-2024,153.86,153.7,154.3,151.9,32.03M,2.35%
06-08-2024,150.32,151.21,153.8,149.61,53.51M,0.33%
05-08-2024,149.82,153.66,154,149,102.88M,-5.31%
02-08-2024,158.22,161,161.19,154.72,72.43M,-2.97%
01-08-2024,163.06,168.2,168.95,160.9,118.34M,-1.37%
31-07-2024,165.33,166.29,166.5,163.55,52.77M,0.77%
30-07-2024,164.07,162.9,165.3,161.31,42.82M,0.74%
29-07-2024,162.87,164.7,164.7,162.33,31.75M,0.20%
26-07-2024,162.55,158.75,162.95,158.21,45.64M,3.28%
25-07-2024,157.39,158.5,158.5,156.9,45.16M,-1.82%
24-07-2024,160.31,160.02,162.02,159.19,28.09M,0.18%
23-07-2024,160.02,161.6,161.97,155,37.08M,-0.19%
22-07-2024,160.32,158.4,160.7,156.41,40.35M,1.62%
19-07-2024,157.77,166,166.09,157.2,77.99M,-5.16%
18-07-2024,166.36,167.61,167.61,164.44,36.57M,-0.42%
16-07-2024,167.07,167.8,169.82,166.7,26.51M,0.19%
15-07-2024,166.76,168.69,168.99,165.8,32.64M,-1.14%
12-07-2024,168.69,170.2,170.39,168.01,33.31M,-0.14%
11-07-2024,168.92,170,170.95,168.67,33.99M,0.56%
10-07-2024,167.98,172.5,172.89,167.02,41.53M,-2.22%
09-07-2024,171.8,173.6,173.7,171.51,25.13M,-0.28%
08-07-2024,172.28,174.6,175.47,172.09,31.48M,-1.39%
05-07-2024,174.71,176.2,176.2,173.4,38.12M,-0.90%
04-07-2024,176.29,177,178.19,175.82,29.50M,-0.05%
03-07-2024,176.37,174.54,176.88,174.4,29.09M,1.05%
02-07-2024,174.54,174.47,175.75,173.6,33.36M,0.27%
01-07-2024,174.07,174.5,175.99,173.51,27.81M,0.03%
28-06-2024,174.01,174.17,177.1,173.57,37.52M,-0.09%
27-06-2024,174.16,172.56,174.95,171.8,49.77M,0.93%
26-06-2024,172.56,175.68,176,171.84,44.01M,-1.78%
25-06-2024,175.68,177.99,179,175.25,30.60M,-1.28%
24-06-2024,177.96,177.44,178.95,175.1,47.60M,-1.10%
21-06-2024,179.94,179.4,180.9,178.18,65.49M,-1.28%
20-06-2024,182.28,181.6,182.95,179.37,38.84M,1.26%
19-06-2024,180.02,182.45,182.49,179.31,27.48M,-0.61%
18-06-2024,181.12,183.8,184.6,180.6,35.03M,-1.11%
14-06-2024,183.15,182.95,183.5,181.4,28.51M,0.32%
13-06-2024,182.56,183.4,184.1,180.51,36.67M,0.18%
12-06-2024,182.23,182.25,183.87,181.5,33.30M,0.50%
11-06-2024,181.33,180.5,183.75,180.5,55.56M,0.58%
10-06-2024,180.29,180.21,182.1,177.36,74.29M,0.78%
07-06-2024,178.9,172,179.65,170.8,84.32M,3.98%
06-06-2024,172.05,170,174.7,169.4,57.92M,1.68%
05-06-2024,169.2,162.15,169.6,159,60.10M,6.45%
04-06-2024,158.95,174.5,174.65,148.15,125.04M,-8.78%
03-06-2024,174.25,173.25,175,168.85,86.40M,4.22%
31-05-2024,167.2,166.05,167.95,164,83.71M,1.86%
30-05-2024,164.15,172,172,163.35,108.81M,-5.80%
29-05-2024,174.25,174.75,176,173.5,36.58M,-0.37%
28-05-2024,174.9,175.9,177.5,173.45,39.21M,-0.34%
27-05-2024,175.5,177.7,177.7,174.85,30.41M,0.37%
24-05-2024,174.85,174.95,177.55,174.15,38.67M,-0.37%
23-05-2024,175.5,173.05,175.8,170.5,49.38M,1.27%
22-05-2024,173.3,175.45,175.5,171.5,42.92M,-0.60%
21-05-2024,174.35,168.5,175.2,167.95,84.83M,3.84%
18-05-2024,167.9,168,168.3,167.3,3.60M,0.33%
17-05-2024,167.35,166.6,168.45,165.45,39.18M,0.87%
16-05-2024,165.9,167.25,168,162.3,41.13M,0.18%
15-05-2024,165.6,164.95,167.55,164.95,29.60M,0.39%
14-05-2024,164.95,164.1,166.55,163.5,46.26M,0.67%
13-05-2024,163.85,162.45,164.5,158.05,36.56M,0.99%
10-05-2024,162.25,163.2,164.35,161.85,31.47M,0.22%
09-05-2024,161.9,165.95,166.7,161.5,30.22M,-2.50%
08-05-2024,166.05,164.2,167.1,163.5,30.13M,1.10%
07-05-2024,164.25,167.95,167.95,162.3,43.61M,-2.00%
06-05-2024,167.6,167.95,168.65,164.7,37.62M,0.66%
03-05-2024,166.5,168.95,170.75,165.15,62.57M,-0.51%
02-05-2024,167.35,165,168.9,165,69.32M,1.42%
30-04-2024,165,168.4,168.4,164.5,55.04M,-1.43%
29-04-2024,167.4,168.2,169.6,166.9,44.91M,0.97%
26-04-2024,165.8,168,170.7,165.25,65.36M,-1.13%
25-04-2024,167.7,165.4,168,164.15,50.13M,1.30%
24-04-2024,165.55,162.45,166.9,161.45,59.89M,2.73%
23-04-2024,161.15,163.5,163.5,160.8,30.30M,-0.43%
22-04-2024,161.85,163.8,164.7,161.5,39.30M,-0.15%
19-04-2024,162.1,160,162.5,157.3,60.08M,1.28%
18-04-2024,160.05,160.9,164,159.15,68.09M,0.00%
16-04-2024,160.05,160.85,162.45,159,41.39M,-0.50%
15-04-2024,160.85,161.8,164.7,158.6,66.43M,-1.62%
12-04-2024,163.5,166,166,163,55.32M,-0.94%
10-04-2024,165.05,167.3,169.2,164.5,64.13M,-0.57%
09-04-2024,166,166,169.8,165.2,63.88M,0.48%
08-04-2024,165.2,166.95,166.95,164.2,48.26M,1.13%
05-04-2024,163.35,163.9,164.15,160.8,44.67M,-0.03%
04-04-2024,163.4,165.55,165.95,161,61.09M,-0.15%
03-04-2024,163.65,164.65,166.25,163.1,50.94M,-0.61%
02-04-2024,164.65,162.95,165.5,161.8,69.53M,0.92%
01-04-2024,163.15,156.8,163.9,156.5,84.58M,4.68%
28-03-2024,155.85,152.7,157,152.7,62.58M,2.06%
27-03-2024,152.7,152.45,154.1,152,35.33M,0.20%
26-03-2024,152.4,151.15,153.4,150.5,52.97M,0.40%
